applies_to,column,unit,description
all,task,,"Task family: pinch, pinch_sinusoid, or downwards_rotate."
all,queue,,"Experiment queue the run belongs to."
all,env_name,,"MuJoCo Playground environment."
all,exp_name,,"Unique training run; join key to run_parameters_*.csv and the aggregate success dataset."
all,sensor_bundle,,"Observation/sensor bundle variant (compared policy axis)."
all,seed,,"Training seed of this run."
all,rollout_idx,,"Evaluation rollout index (shared eval RNG stream, so a given index is the SAME initial condition across every policy and seed). Pinch tasks use fixed indices 0,1,2. Downwards uses the 3 most challenging rollouts (largest goal angle >= 90 deg)."
all,step,,"Timestep within the rollout (0-based; 0..79 pinch, 0..119 downwards)."
all,time_s,s,"Simulated time = step * ctrl_dt (ctrl_dt = 0.05 s)."
all,reward,,"Total scaled per-step reward the env returned this step (sum of scale-weighted components + success bonus, times dt)."
all,env_code_commit,,"mujoco_playground commit used for evaluation (see success dataset dictionary; 0ac79f5 for the 6 pre-force-expansion force.magnitude runs, else HEAD 3682863)."
pinch/pinch_sinusoid,force_target,N,"Commanded grasp-force target this step (constant per episode for pinch; phase-randomized sinusoid for pinch_sinusoid)."
pinch/pinch_sinusoid,finger_force_sum,N,"Sum of the two fingertip contact forces (f_thumb + f_index)."
pinch/pinch_sinusoid,effective_force,N,"Contact-gated total grip force actually scored against the target (force_error = effective_force - force_target). Equals finger_force_sum when both fingers are fully engaged."
pinch/pinch_sinusoid,f_thumb,N,"Thumb fingertip contact force."
pinch/pinch_sinusoid,f_index,N,"Index fingertip contact force."
pinch/pinch_sinusoid,success_per_step,,"1 if the success condition held this step (force within tolerance for the required hold time), else 0."
downwards_rotate,goal_angle_deg,deg,"Target cube rotation magnitude for this rollout (constant per episode). All selected rollouts are >= 90 deg."
downwards_rotate,ori_error_rad,rad,"Cube orientation error to the goal this step."
downwards_rotate,ori_error_deg,deg,"Cube orientation error to the goal this step, in degrees (= ori_error_rad * 180/pi)."
downwards_rotate,rew_action_rate,,"Raw action-rate reward component (pre scale weight)."
downwards_rotate,rew_cube_on_floor,,"Raw cube-on-floor penalty component (pre scale weight)."
downwards_rotate,rew_cube_ori,,"Raw cube-orientation reward component (pre scale weight)."
downwards_rotate,rew_fingertip_pos,,"Raw fingertip-position reward component (pre scale weight)."
downwards_rotate,rew_joint_vel,,"Raw joint-velocity penalty component (pre scale weight)."
downwards_rotate,rew_wrist_vel,,"Raw wrist-velocity penalty component (pre scale weight)."
downwards_rotate,rew_success,,"Per-step success indicator used for the success bonus (1/0)."
